Platform,Priority,URL,Status,Login Owner,NAP Match,Category,Notes
Google Business Profile,1,https://www.google.com/business/,Needs optimization,Client,Pending,"General Contractor; Remodeler","Add services, Q&A, posts, photos, review link"
Bing Places,1,https://www.bingplaces.com/,To create,Client,Pending,Contractor,"Sync with GBP if possible"
Apple Business Connect,1,https://businessconnect.apple.com/,To create,Client,Pending,Contractor,"Important for Siri/Apple Maps"
Yelp,1,https://business.yelp.com/,To create,Client,Pending,Contractor,"Add photos and service categories"
Houzz,1,https://www.houzz.com/professionals,To create,Client,Pending,General Contractor,"Strong for remodeling discovery"
Angi,1,https://www.angi.com/companylist/,To create,Client,Pending,Remodeling,"Contractor lead directory"
BBB,2,https://www.bbb.org/get-accredited,To evaluate,Client,Pending,General Contractor,"Authority signal if budget allows"
Nextdoor Business,2,https://business.nextdoor.com/,To create,Client,Pending,Home Services,"Neighborhood visibility"
Manta,2,https://www.manta.com/,To create,Client,Pending,Construction,"Citation consistency"
Alignable,2,https://www.alignable.com/,To create,Client,Pending,Construction,"Local business networking"
HomeAdvisor,2,https://www.homeadvisor.com/,To evaluate,Client,Pending,Remodeling,"Lead quality varies"
Thumbtack,2,https://www.thumbtack.com/pro,To evaluate,Client,Pending,Remodeling,"Lead quality varies"
Marietta Chamber,1,https://www.mariettachamber.com/,To evaluate,Client,Pending,Construction,"Local backlink/citation"
Cobb Chamber,1,https://www.cobbchamber.org/,To evaluate,Client,Pending,Construction,"Local backlink/citation"
Facebook,1,https://www.facebook.com/profile.php?id=61574372951184,Live,Client,Check,Contractor,"Ensure website and phone match"
Instagram,1,https://www.instagram.com/designhavenbuild,Live,Client,Check,Contractor,"Add website link and local bio terms"
